id,source_book,chapter,verse,era,original_language,tamil,english,translator,source_url,license,iks_concepts,notes
KRT-0040,Kurunthogai,Verse 40,40,Sangam (c. 300 BCE – 300 CE),Tamil,செம்புலப் பெயல்நீர் போல அன்புடை நெஞ்சம் தாங்கலந்த னவே.,"Like red soil mixing with pouring rain, our loving hearts have merged into one.",A.K. Ramanujan,https://www.tamilvirtualuniversity.org/,Public Domain,"Anbu, Kadal, Kurinji",The famous red earth and rain poem depicting the union of hearts in Akam poetry.
TK-0248-POPE,Thirukkural,Chapter 25: Possession of Compassion (அருளுடைமை),248,Post-Sangam (c. 1st–5th century CE),Tamil,பொருளற்றார் பொத்தனிலும் நிரைக்கோல் பயத்தல் அருளற்றார் யாரும் உடையர்.,Even empty vessels can yield a row when compared; those without compassion have nothing really.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 248, Possession of Compassion (அருளுடைமை)."
TK-0018-POPE,Thirukkural,Chapter 2: The Excellence of Rain (வான்சிறப்பு),18,Post-Sangam (c. 1st–5th century CE),Tamil,சிறைகாத்து சீர்மை பயக்குமேல் நோன்பிற்கு அறைகூவல் ஆகும் ஆழி.,"If the ocean guards its boundaries and helps prosperity, the hermit's vow succeeds.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 18, The Excellence of Rain (வான்சிறப்பு)."
TK-0091-POPE,Thirukkural,Chapter 10: Pleasant Words (இனியவை கூறல்),91,Post-Sangam (c. 1st–5th century CE),Tamil,இன்சொலால் ஈரம் அளைஇப் படிறிலவாம் செம்பொருள் கண்டார்வாய்ச் சொல்.,"Sweet words coated with love, devoid of deceit — such is the speech of those who have seen truth.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 91, Pleasant Words (இனியவை கூறல்)."
TK-0072-DREW,Thirukkural,Chapter 8: Possession of Love (அன்புடைமை),72,Post-Sangam (c. 1st–5th century CE),Tamil,அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர் புன்கண்நோக்கில் தவிர்வது.,Is there a bolt to bar love when loving eyes behold sorrow?,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 72, Possession of Love (அன்புடைமை)."
TK-0375-POPE,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),375,Post-Sangam (c. 1st–5th century CE),Tamil,இருவேறு உலகத்து இயற்கை திருவேறு தெள்ளிய ராதலும் வேறு.,The nature of the two worlds differs; the clarity of the wise and the unwise also differs.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 375, Fate / Destiny (ஊழ்)."
TK-0321-POPE,Thirukkural,Chapter 33: Non-Killing (கொல்லாமை),321,Post-Sangam (c. 1st–5th century CE),Tamil,அறவினை யாதெனின் கொல்லாமை கோறல் பிறவினை எல்லாம் தரும்.,"If you ask what is the chief of virtues, it is not to kill; killing is the cause of all other vices.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 321, Non-Killing (கொல்லாமை)."
TK-0263-DREW,Thirukkural,Chapter 27: Penance (தவம்),263,Post-Sangam (c. 1st–5th century CE),Tamil,சுடச்சுட ஒருவன் தாங்கும் தடக்கையால் சுட்டொரு கைக்கும் தகும்.,"As fire refines gold, penance builds strength to endure.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 263, Penance (தவம்)."
TK-0294-POPE,Thirukkural,Chapter 30: Truthfulness (வாய்மை),294,Post-Sangam (c. 1st–5th century CE),Tamil,உள்ளத்தால் பொய்யாது ஒழுகின் உலகத்தார் உள்ளத்துள் எல்லாம் உளன்.,He who lives without deceit in his heart will be present in the hearts of all people in the world.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 294, Truthfulness (வாய்மை)."
TK-0038-POPE,Thirukkural,Chapter 4: Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்),38,Post-Sangam (c. 1st–5th century CE),Tamil,வீழ்நாள் படாமல் கடிய பழிதிரும் நாளிற்றன் நல்வினை நலன் செய்யாது.,"One who does not do good each day, when that day comes, loses the profit of those days.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 38, Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்)."
NAT-0045,Natrinai,Verse 45,45,Sangam (c. 300 BCE – 300 CE),Tamil,இன்சொல் பேசும் தோழி தோழியின் துணை இன்றி வாழ்க்கை இல்லை.,"The confidante who speaks sweetly — without her friendship, life itself is empty.",A.K. Ramanujan,https://www.tamilvirtualuniversity.org/,Public Domain,"Thozhi, Anbu",The crucial role of the female confidante (Thozhi) in Sangam love poetry.
TK-0074-DREW,Thirukkural,Chapter 8: Possession of Love (அன்புடைமை),74,Post-Sangam (c. 1st–5th century CE),Tamil,அன்புஈனும் ஆர்வம் உடைமை அதுஈனும் நண்பென்னும் நாடாச் சிறப்பு.,Love produces earnest affection; affection produces immeasurable friendship.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 74, Possession of Love (அன்புடைமை)."
TK-0134-DREW,Thirukkural,Chapter 14: Right Conduct (ஒழுக்கமுடைமை),134,Post-Sangam (c. 1st–5th century CE),Tamil,சீலமென்னும் செல்வம் ஒருவற்குத் தான்திரிவு இல்லா அறத்தினால் வரும்.,The wealth of conduct comes through virtue that never deviates.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 134, Right Conduct (ஒழுக்கமுடைமை)."
TK-0375-DREW,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),375,Post-Sangam (c. 1st–5th century CE),Tamil,இருவேறு உலகத்து இயற்கை திருவேறு தெள்ளிய ராதலும் வேறு.,The two worlds have different natures; the wise and unwise differ in clarity.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 375, Fate / Destiny (ஊழ்)."
TK-0043-DREW,Thirukkural,Chapter 5: Domestic Life (இல்வாழ்க்கை),43,Post-Sangam (c. 1st–5th century CE),Tamil,தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு ஐம்புலத்தாறு ஓம்பல் தலை.,"Serving ancestors, gods, guests, kin, and self: these five are the householder's chief duties.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 43, Domestic Life (இல்வாழ்க்கை)."
TK-0136-DREW,Thirukkural,Chapter 14: Right Conduct (ஒழுக்கமுடைமை),136,Post-Sangam (c. 1st–5th century CE),Tamil,ஒழுக்கம் உடையவர்க்கு ஓதல் உடையவர்க்கும் இல்லா இடத்தும் அரசு.,"Right conduct gives dominion even without learning; without it, learning fails.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 136, Right Conduct (ஒழுக்கமுடைமை)."
TK-0379-DREW,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),379,Post-Sangam (c. 1st–5th century CE),Tamil,நல்லவை எல்லாம் தீயவாம் தீயவும் நல்லவாம் செல்வச் செயலான் வரும்.,"Through fate's action, all good turns bad and all bad turns good.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 379, Fate / Destiny (ஊழ்)."
AKA-0073,Akananuru,Verse 73,73,Sangam (c. 300 BCE – 300 CE),Tamil,நெய்தல் ஓதத்து நீர்வழி நிற்கும் தோழி நிலையம் அமர்ந்திட்டாள்.,The confidante stood steadfast by the tidal coastal waterway.,George L. Hart,https://www.tamilvirtualuniversity.org/,Public Domain,"Neythal, Thozhi",The confidante's steady presence in the coastal landscape supports the grieving heroine.
KRT-0003,Kurunthogai,Verse 3,3,Sangam (c. 300 BCE – 300 CE),Tamil,நிலத்தினும் பெரிதே வானினும் உயர்ந்தன்று நீரினும் ஆரளவின்றே சாரல் கருங்கோற் குறிஞ்சிப் பூக்கொண்டு பெருந்தேன் இழைக்கும் நாடனோடு நட்பே.,"Greater than the earth, higher than the sky, deeper than the waters is my friendship with the lord of the land where Kurinji flowers yield honey.",A.K. Ramanujan,https://www.tamilvirtualuniversity.org/,Public Domain,"Kurinji, Kadal, Akam",A classic Akam expression of deep love set in the mountainous Kurinji landscape.
TK-0242-POPE,Thirukkural,Chapter 25: Possession of Compassion (அருளுடைமை),242,Post-Sangam (c. 1st–5th century CE),Tamil,நல்லாற்றால் நாடி அருளாள்க பல்லாற்றால் தேரினும் அஃதே துணை.,"Cultivate compassion through the good path; however many ways you investigate, compassion is the companion.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 242, Possession of Compassion (அருளுடைமை)."
TK-0039-DREW,Thirukkural,Chapter 4: Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்),39,Post-Sangam (c. 1st–5th century CE),Tamil,அறத்தாறின் இல்வாழ்க்கை ஆற்றின் புறத்தாறின் போஒய்ப் பெறுவது எவன்.,"If a householder walks virtue's path, what more can other paths yield?",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 39, Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்)."
TK-0075-DREW,Thirukkural,Chapter 8: Possession of Love (அன்புடைமை),75,Post-Sangam (c. 1st–5th century CE),Tamil,அன்புற்று அமர்ந்த வழக்கென்ப வான்நட்பு என்புற்று அகன்ற விடத்து.,"When love is established in the body to the bone, friendship becomes heavenly.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 75, Possession of Love (அன்புடைமை)."
TK-0139-DREW,Thirukkural,Chapter 14: Right Conduct (ஒழுக்கமுடைமை),139,Post-Sangam (c. 1st–5th century CE),Tamil,அழுக்காறு உடையார்க்கு அதுசாலும் ஒன்றே ஒழுக்கம் உடையவர்க்கு ஓர் உதவி.,Envy alone suffices as vice; right conduct alone suffices as virtue's help.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 139, Right Conduct (ஒழுக்கமுடைமை)."
KRT-0119,Kurunthogai,Verse 119,119,Sangam (c. 300 BCE – 300 CE),Tamil,விண்ணிலும் மண்ணிலும் யாரும் இல்லை அன்பிலா தார்க்கு.,Neither in heaven nor on earth is there anyone for those who have no love.,A.K. Ramanujan,https://www.tamilvirtualuniversity.org/,Public Domain,"Anbu, Uyir",A stark statement on the isolation of the loveless — love is essential for connection.
TK-0045-DREW,Thirukkural,Chapter 5: Domestic Life (இல்வாழ்க்கை),45,Post-Sangam (c. 1st–5th century CE),Tamil,அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை பண்பும் பயனும் அது.,A domestic life with love and virtue possesses both its excellence and its fruit.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 45, Domestic Life (இல்வாழ்க்கை)."
TK-0060-POPE,Thirukkural,Chapter 6: The Help of a Good Wife (வாழ்க்கைத் துணைநலம்),60,Post-Sangam (c. 1st–5th century CE),Tamil,மங்கலம் என்ப மனைமாட்சி மற்றதன் நன்கலம் நன்மக்கட் பேறு.,The excellence of a home is called auspicious; its best adornment is the gift of good children.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 60, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்)."
AKA-0149,Akananuru,Verse 149,149,Sangam (c. 300 BCE – 300 CE),Tamil,கார்காலம் வந்தது கலிங்கத்துப் பறவைகள் கூவும் காலை.,The rainy season has come; in the morning the birds of Kalinga cry.,George L. Hart,https://www.tamilvirtualuniversity.org/,Public Domain,"Mullai, Pirivu",The arrival of the monsoon in the Mullai landscape signals the season for the hero to return.
TK-0082-POPE,Thirukkural,Chapter 9: Hospitality (விருந்தோம்பல்),82,Post-Sangam (c. 1st–5th century CE),Tamil,விருந்து புறத்ததாத் தானுண்டல் சாவா மருந்தெனினும் வேண்டற்பாற் றன்று.,To eat alone while the guest remains outside — even if the food is nectar that prevents death — is undesirable.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 82, Hospitality (விருந்தோம்பல்)."
TK-0033-DREW,Thirukkural,Chapter 4: Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்),33,Post-Sangam (c. 1st–5th century CE),Tamil,அறத்தான் வருவதே இன்பம் மற்றெல்லாம் புறத்த பரிசுடையது.,Joy comes only from virtue; all else is externally pleasant.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 33, Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்)."
TK-0050-DREW,Thirukkural,Chapter 5: Domestic Life (இல்வாழ்க்கை),50,Post-Sangam (c. 1st–5th century CE),Tamil,வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உறையும் தெய்வத்துள் வைக்கப் படும்.,One who lives in this world as one should will be reckoned among the divine.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 50, Domestic Life (இல்வாழ்க்கை)."
TK-0061-POPE,Thirukkural,Chapter 7: The Blessing of Children (புதல்வரைப் பெறுதல்),61,Post-Sangam (c. 1st–5th century CE),Tamil,பெறுமவற்றுள் யாமறிவது இல்லை அறிவறிந்த மக்கட்பேறு அல்ல பிற.,"Among all the blessings we know, there is none equal to the gift of children who understand wisdom.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 61, The Blessing of Children (புதல்வரைப் பெறுதல்)."
TK-0377-POPE,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),377,Post-Sangam (c. 1st–5th century CE),Tamil,பரிதியார் பார்ப்பான் ஒளிவிடும் சாயல் ஒரிதியார் ஒத்தம் வழி.,The sun illumines all the earth; fate illumines all of one's path.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 377, Fate / Destiny (ஊழ்)."
AKA-0001,Akananuru,Verse 1,1,Sangam (c. 300 BCE – 300 CE),Tamil,தொல்காப்பியர் மொழிந்த திணைகளின் வழி நின்று ஐந்திணை இலக்கியம் வளர்ந்தது.,"Following the five-landscape (Tinai) classification that Tolkappiyar established, the five-landscape literature flourished.",A.K. Ramanujan,https://www.tamilvirtualuniversity.org/,Public Domain,"Tinai, Akam",A tribute to Tolkappiyar's classification system that ordered all of Sangam love poetry.
TK-0014-POPE,Thirukkural,Chapter 2: The Excellence of Rain (வான்சிறப்பு),14,Post-Sangam (c. 1st–5th century CE),Tamil,ஏரின் உழாஅர் உழவர் புயலென்னும் வாரி வளங்குன்றிய விடத்து.,"Farmers will not plow with their plows when the clouds, the givers of riches, fail.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 14, The Excellence of Rain (வான்சிறப்பு)."
TK-0380-POPE,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),380,Post-Sangam (c. 1st–5th century CE),Tamil,ஊழில் பெருவலி யாவுள மற்றொன்று சூழினும் தான்முந் துறும்.,"What is stronger than fate? Even if one devises some other defense, fate will forestall and come first.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 380, Fate / Destiny (ஊழ்)."
TK-0376-DREW,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),376,Post-Sangam (c. 1st–5th century CE),Tamil,தவப்பயன் ஊழிலா வாகும் கவர்ப்பரியன் கனவினிலும் உண்டோ குறை.,"Penance without fate is useless; even in dreams, the destined lack nothing.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 376, Fate / Destiny (ஊழ்)."
TK-0243-DREW,Thirukkural,Chapter 25: Possession of Compassion (அருளுடைமை),243,Post-Sangam (c. 1st–5th century CE),Tamil,அருள்அல்லது யாதெனின் கொன்றாரும் கொல்லார் மருளாரும் நிற்பார் நிலை.,Compassion is when even killers pause and the confused find stillness.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 243, Possession of Compassion (அருளுடைமை)."
TK-0054-POPE,Thirukkural,Chapter 6: The Help of a Good Wife (வாழ்க்கைத் துணைநலம்),54,Post-Sangam (c. 1st–5th century CE),Tamil,பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும் திண்மைஉண் டாகப் பெறின்.,What greater glory is there for women than the firm chastity which is called Karpu?,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 54, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்)."
TK-0323-DREW,Thirukkural,Chapter 33: Non-Killing (கொல்லாமை),323,Post-Sangam (c. 1st–5th century CE),Tamil,ஒன்றாக நல்லது கொல்லாமை மற்றதன் பண்பு உரைக்கின் பன்மை யான் நன்று.,"Non-killing stated simply is one good; stated in its many aspects, it has manifold good.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 323, Non-Killing (கொல்லாமை)."
TK-0052-DREW,Thirukkural,Chapter 6: The Help of a Good Wife (வாழ்க்கைத் துணைநலம்),52,Post-Sangam (c. 1st–5th century CE),Tamil,மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை எனைமாட்சித்து ஆயினும் இல்.,"If the wife lacks home-adorning virtue, however grand the life, it has no real worth.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 52, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்)."
SIL-Mangu-1,Silappathikaram,Passage Mangu-1,Mangu-1,Post-Sangam (c. 5th century CE),Tamil,ஒரு குலத்தில் பிறந்தாலும் ஒழுக்கமே உயர்வு.,"Though born in one lineage, it is conduct that elevates.",R. Parthasarathy,https://www.tamilvirtualuniversity.org/,Public Domain,"Ozhukkam, Karpu",From Silappathikaram — conduct (Ozhukkam) elevates one beyond birth lineage.
TK-0034-POPE,Thirukkural,Chapter 4: Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்),34,Post-Sangam (c. 1st–5th century CE),Tamil,செய்யாமல் செய்த உதவிக்கு வையகமும் வானகமும் ஆற்றல் அரிது.,To repay unbidden service with all the world and heaven too would be impossible.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 34, Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்)."
TK-0013-DREW,Thirukkural,Chapter 2: The Excellence of Rain (வான்சிறப்பு),13,Post-Sangam (c. 1st–5th century CE),Tamil,விண்இன்று பொய்ப்பின் விரிநீர் வியன்கடலும் மண்ணின்று மாணப் பெரும்.,"If the rains fail, even the boundless sea will diminish.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 13, The Excellence of Rain (வான்சிறப்பு)."
TK-0247-DREW,Thirukkural,Chapter 25: Possession of Compassion (அருளுடைமை),247,Post-Sangam (c. 1st–5th century CE),Tamil,அருளில் அரசர் பொருளில் ஒருவர் இருளுட் கழிவர் இடும்பை உழந்து.,"Kings without compassion, however wealthy, wander in darkness with suffering.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 247, Possession of Compassion (அருளுடைமை)."
TK-0028-DREW,Thirukkural,Chapter 3: The Greatness of Ascetics (நீத்தார் பெருமை),28,Post-Sangam (c. 1st–5th century CE),Tamil,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும் செந்தண்மை பூண்டொழுக லான்.,True Brahmins are the virtuous who protect all lives with cool benevolence.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 28, The Greatness of Ascetics (நீத்தார் பெருமை)."
TK-0262-DREW,Thirukkural,Chapter 27: Penance (தவம்),262,Post-Sangam (c. 1st–5th century CE),Tamil,தவம்செய்வார் தம்கருமம் செய்வார்மற் றல்லார் அவஞ்செய்வார் ஆசை உடைத்து.,Those who practise penance do their own duty; others pursue vanity through desire.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 262, Penance (தவம்)."
PUR-0220,Purananuru,Verse 220,220,Sangam (c. 300 BCE – 300 CE),Tamil,காலனும் கடவுளும் ஒன்றே சீலம் சிறந்தார்க்கு.,Death and God are the same to those of excellent character.,George L. Hart,https://www.tamilvirtualuniversity.org/,Public Domain,"Thavam, Ozhukkam","Moral excellence makes one indifferent to death, equating it with the divine."
TK-0020-POPE,Thirukkural,Chapter 2: The Excellence of Rain (வான்சிறப்பு),20,Post-Sangam (c. 1st–5th century CE),Tamil,நீர்இன்று அமையா யாக்கை புலனென்னும் ஆர்இன்று அமையா தல்.,"As the body cannot exist without water, so virtue cannot exist without the senses being properly trained.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 20, The Excellence of Rain (வான்சிறப்பு)."
TK-0371-POPE,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),371,Post-Sangam (c. 1st–5th century CE),Tamil,ஊழிற் பெருவலி யாவுள மற்றொன்று சூழினும் தான்முந் துறும்.,"What strength is greater than fate? Even if one devises some other plan, fate will manifest first.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 371, Fate / Destiny (ஊழ்)."
TK-0049-POPE,Thirukkural,Chapter 5: Domestic Life (இல்வாழ்க்கை),49,Post-Sangam (c. 1st–5th century CE),Tamil,அன்பு நன்கு உடையவர் இல்வாழ்க்கை ஆற்றின் இருந்தொழிவார் யார்.,"If those who live the domestic life with great love are truly walking its path, who would leave it?",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 49, Domestic Life (இல்வாழ்க்கை)."
TK-0041-POPE,Thirukkural,Chapter 5: Domestic Life (இல்வாழ்க்கை),41,Post-Sangam (c. 1st–5th century CE),Tamil,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை.,The good householder is the support of the other three orders of life who walk the path of goodness.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 41, Domestic Life (இல்வாழ்க்கை)."
TK-0006-POPE,Thirukkural,Chapter 1: Praise of God (கடவுள் வாழ்த்து),6,Post-Sangam (c. 1st–5th century CE),Tamil,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,"Long live those who stand in the path of truthful virtue, restraining the five senses.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 6, Praise of God (கடவுள் வாழ்த்து)."
