id,work_name,author,translator,era,literary_type,chapter,verse_number,tamil_text,english_translation,alternate_translations,commentary,glossary,iks_concepts,concept_ids,semantic_tags,source_reference,license,quality_score,is_valid,validation_errors
AKA-0082,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 82,82,குறிஞ்சி மலரும் குளிர்வளி வீசும் தலைவன் வரும் நாள் என்று தலைவி காத்தாள்.,"The Kurinji flowers bloom, the cool breeze blows — the heroine waited for the day her love would return.",[],,{},"[{'concept_id': 'IKS-KURINJI', 'name': 'Kurinji', 'meaning': 'Mountainous landscape (associated with union)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-KURINJI', 'IKS-KADAL']","['kurinji', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
KLI-0051,Kalithogai,Kapilar,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Kurinji Kali: Verse 51,51,சுடர்த்தொடீஇ கேளாய் நின்தோழி செய்த செயல்.,"Listen, girl wearing bright bracelets, to what your friend did.",[],The narrator details the hero's actions to the heroine's companion.,"{'சுடர்த்தொடீஇ': 'girl with bright bracelets', 'கேளாய்': 'listen'}","[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-MULLAI', 'IKS-KURINJI', 'IKS-NEYTHAL', 'IKS-PALAI', 'IKS-MARUTHAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]","['IKS-ANBU', 'IKS-THINAI']","['thinai', 'anbu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
KRT-0003,Kurunthogai,Kapilar,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 3,3,நிலத்தினும் பெரிதே வானினும் உயர்ந்தன்று நீரினும் ஆரளவின்றே சாரல் கருங்கோற் குறிஞ்சிப் பூக்கொண்டு பெருந்தேன் இழைக்கும் நாடனோடு நட்பே.,"Greater than the earth, higher than the sky, deeper than the waters is my friendship with the lord of the land where Kurinji flowers yield honey.",[],The love for the hero is vast and transcends all physical dimensions.,"{'நிலத்தினும்': 'than the earth', 'பெரிதே': 'larger', 'நாடனோடு': 'with the lord', 'நட்பே': 'love/friendship'}","[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-MULLAI', 'IKS-KURINJI', 'IKS-NEYTHAL', 'IKS-PALAI', 'IKS-MARUTHAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}, {'concept_id': 'IKS-KURINJI', 'name': 'Kurinji', 'meaning': 'Mountainous landscape (associated with union)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 0.7}]","['IKS-KURINJI', 'IKS-ANBU', 'IKS-THINAI']","['thinai', 'anbu', 'kurinji']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
KRT-0040,Kurunthogai,Kapilar,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 40,40,செம்புலப் பெயல்நீர் போல அன்புடை நெஞ்சம் தாங்கலந்த னவே.,"Like red soil mixing with pouring rain, our loving hearts have merged into one.",[],"Our hearts are indistinguishable from each other, like red soil and rain.","{'செம்புல': 'red soil', 'பெயல்நீர்': 'rainwater', 'நெஞ்சம்': 'hearts'}","[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]",['IKS-ANBU'],['anbu'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
KRT-0135,Kurunthogai,Anonymous,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 135,135,வினையே ஆடவர்க்கு உயிரே மனையுறை மகளிர்க்கு ஆடவர் உயிர்.,"Action (work) is the life of men; but for women who remain at home, their husband is their life.",[],"Action defines the male role, while partnership defines the female domestic role.","{'வினையே': 'work/duty', 'ஆடவர்க்கு': 'to men', 'உயிரே': 'life'}","[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]",['IKS-ARAM'],['aram'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
KRT-0119,Kurunthogai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 119,119,விண்ணிலும் மண்ணிலும் யாரும் இல்லை அன்பிலா தார்க்கு.,Neither in heaven nor on earth is there anyone for those who have no love.,[],,{},"[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}, {'concept_id': 'IKS-UYIR', 'name': 'Uyir', 'meaning': 'Soul, life, or living being', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-OOZH', 'IKS-THAVAM'], 'confidence': 1.0}]","['IKS-ANBU', 'IKS-UYIR']","['anbu', 'uyir']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
KRT-0057,Kurunthogai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 57,57,நீலமலர் ஏந்திய வண்டினது குரலே கடல்நோய் போன்று இன்னா.,The hum of the bee carrying the blue lotus flower sounds as painful as the sorrow of the sea.,[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-KADAL']","['neythal', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
KRT-0017,Kurunthogai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 17,17,என்னோ தோழி கானல் நண்பகல் வெம்மைய தாகி விரைந்து உலாவும் கடல்.,"Oh friend, what is this midday sea that rushes warm through the coastal grove?",[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-PIRIVU']","['neythal', 'pirivu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
KRT-0009,Kurunthogai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 9,9,யாரும் இல்லை தனக்கு துணையாவார் ஒருவர் அன்பு இல்லாத காலை.,There is no one to support a person when they have no one's love.,[],,{},"[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-ANBU', 'IKS-KADAL']","['anbu', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
KRT-0031,Kurunthogai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 31,31,அலர்தாய் வாடைக்கு அழிந்த தமரல் சூடி நீத்தார் இடத்தே நின்று பலாவின் கனியின் இனிதே விரிதோடு தாழையின் தண்சேர்ப்பன் நட்பே.,Sweeter than the fragrant jackfruit is the friendship of the lord of cool shores with spreading Pandanus flowers.,[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-KADAL']","['neythal', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
KRT-0065,Kurunthogai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 65,65,கொல்லா ஒழுக்கமும் உயிர் ஓம்பும் அறனும் ஒரு மனத்தோர்க்கு ஒவ்வாது.,"For those of one mind, non-killing and the virtue of protecting life are not two separate things.",[],,{},"[{'concept_id': 'IKS-KOLLAMAI', 'name': 'Kollamai', 'meaning': 'Classical Tamil IKS concept of Kollamai', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-KOLLAMAI', 'IKS-ARAM']","['kollamai', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
MDK-0770,Maduraikanchi,Mangudi Maruthanar,J.V. Chelliah,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Lines 770-772,770,நெல்லின் உமிக்கரி கடியா நெடும்சுவர் நல்லில் மாடத்து நல்லொளி விளக்கே.,"The bright lamp glows within the beautiful mansion with high walls, where the black charcoal of rice husk is swept away.",[],Depicts cleanliness and luxury in the capital city of Madurai.,"{'விளக்கே': 'lamp', 'நெடும்சுவர்': 'long wall'}","[{'concept_id': 'IKS-PORUL', 'name': 'Porul', 'meaning': 'Wealth, material goods, or meaning/substance', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ARASAN'], 'confidence': 1.0}]",['IKS-PORUL'],['porul'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
MMK-0001,Manimekalai,Cittalai Cattanar,Alain Danielou,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,Passage 3,3,உண்டி கொடுத்தோர் உயிர் கொடுத்தோரே.,Those who give food give life itself.,[],"Food sustains life, and therefore feeding the hungry is the ultimate virtue.","{'உண்டி': 'food', 'கொடுத்தோர்': 'those who gave', 'உயிர்': 'life'}","[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}, {'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ANBU', 'IKS-THAVAM'], 'confidence': 1.0}]","['IKS-ARUL', 'IKS-ARAM']","['aram', 'arul']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
MMK-MM-1,Manimekalai,Cittalai Cattanar,Alain Danielou,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,Passage MM-1,MM-1,அறவழி நடப்பவரே அமைதியான மனதை அடைவர்.,Only those who walk the path of virtue attain a peaceful mind.,[],,{},"[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}, {'concept_id': 'IKS-THAVAM', 'name': 'Thavam', 'meaning': 'Penance, ascetic practice, or self-discipline', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ARUL'], 'confidence': 1.0}]","['IKS-ARAM', 'IKS-THAVAM']","['aram', 'thavam']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
MMK-MM-6,Manimekalai,Cittalai Cattanar,Alain Danielou,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,Passage MM-6,MM-6,கல்வி கற்றோரே உண்மையான செல்வர் அல்லர் பொருள் உடையோரே.,"Those who have gained learning are the truly wealthy, not those who merely have material possessions.",[],,{},"[{'concept_id': 'IKS-PORUL', 'name': 'Porul', 'meaning': 'Wealth, material goods, or meaning/substance', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ARASAN'], 'confidence': 1.0}, {'concept_id': 'IKS-OZHUKKAM', 'name': 'Ozhukkam', 'meaning': 'Moral conduct, discipline, or personal integrity', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-SANROR'], 'confidence': 1.0}]","['IKS-PORUL', 'IKS-OZHUKKAM']","['porul', 'ozhukkam']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
MMK-MM-5,Manimekalai,Cittalai Cattanar,Alain Danielou,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,Passage MM-5,MM-5,பிறர் இன்பத்தில் மகிழ்வதே மேலான அறம்.,To rejoice in the happiness of others is the highest virtue.,[],,{},"[{'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ANBU', 'IKS-THAVAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]","['IKS-ARUL', 'IKS-ANBU']","['arul', 'anbu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
MMK-MM-4,Manimekalai,Cittalai Cattanar,Alain Danielou,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,Passage MM-4,MM-4,அன்னை ஆவுடையார் தன் வாழ்க்கையை அறத்திற்கு அர்ப்பணித்தாள்.,Auvudaiyar dedicated her life entirely to virtue (Aram).,[],,{},"[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}, {'concept_id': 'IKS-THAVAM', 'name': 'Thavam', 'meaning': 'Penance, ascetic practice, or self-discipline', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ARUL'], 'confidence': 1.0}]","['IKS-ARAM', 'IKS-THAVAM']","['aram', 'thavam']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
