verse_id,work_name,tamil_length,english_length,quality_score,detected_concepts,validation_errors
PTP-0218,Pattinappaalai,75,131,0.97,Thinai|Anbu,
PUR-0192,Purananuru,26,57,0.82,Kelir|Aram,
PUR-0182,Purananuru,83,88,0.97,Kelir|Aram,
PUR-0312,Purananuru,67,91,0.97,Sanror,
PUR-0220,Purananuru,43,59,0.92,Thavam|Ozhukkam,
PUR-0015,Purananuru,56,79,0.92,Velvi|Arasan,
PUR-0006,Purananuru,79,89,0.92,Porul|Aram,
PUR-0002,Purananuru,67,95,0.92,Oozh|Viram,
PUR-0001,Purananuru,54,81,0.92,Pukazh,
PUR-0195,Purananuru,48,77,0.92,Thavam|Uyir,
PUR-0240,Purananuru,64,73,0.92,Aram|Anbu,
PUR-0200,Purananuru,28,76,0.77,Vinai|Oozh,
PUR-0187,Purananuru,35,71,0.92,Sengol|Arasan,
PUR-0072,Purananuru,55,79,0.92,Sengol|Kodai,
PUR-0278,Purananuru,63,81,0.92,Pukazh|Oozh,
PUR-0067,Purananuru,48,77,0.92,Igai|Kodai,
SIL-0001,Silappathikaram,42,56,0.97,Aram,
SIL-0002,Silappathikaram,41,66,0.97,Aram,
SIL-Cilappatikaram-8,Silappathikaram,52,71,0.92,Aram|Oozh,
SIL-Mangu-5,Silappathikaram,68,77,0.92,Karpu|Anbu,
SIL-Cilappatikaram-6,Silappathikaram,74,79,0.92,Arasan|Arul|Sengol,
SIL-Mangu-2,Silappathikaram,62,94,0.92,Karpu|Manam,
SIL-Mangu-4,Silappathikaram,60,66,0.92,Sengol|Oozh,
SIL-Cilappatikaram-7,Silappathikaram,60,88,0.92,Yazh|Pan,
TK-0001,Thirukkural,46,86,0.97,Aram,
TK-0002,Thirukkural,55,107,0.97,Aram,
TK-0039,Thirukkural,64,87,0.97,Aram,
TK-0071,Thirukkural,67,108,0.97,Anbu,
TK-0241,Thirukkural,67,113,0.97,Arul,
TK-0380,Thirukkural,55,103,0.97,Oozh,
TK-0261,Thirukkural,62,110,0.97,Aram|Thavam,
TK-0096-POPE,Thirukkural,61,86,0.92,,
TK-0374-POPE,Thirukkural,53,96,0.92,,
TK-0266-DREW,Thirukkural,64,69,0.92,,
TK-0085-DREW,Thirukkural,78,86,0.92,,
TK-0027-DREW,Thirukkural,61,71,0.92,,
TK-0138-DREW,Thirukkural,67,92,0.92,,
TK-0066-POPE,Thirukkural,57,93,0.92,,
TK-0132-POPE,Thirukkural,63,79,0.92,,
TK-0248-POPE,Thirukkural,68,95,0.92,,
TK-0018-POPE,Thirukkural,59,83,0.92,,
TK-0091-POPE,Thirukkural,63,97,0.92,,
TK-0072-DREW,Thirukkural,65,59,0.92,,
TK-0375-POPE,Thirukkural,53,90,0.92,,
TK-0321-POPE,Thirukkural,53,100,0.92,,
TK-0263-DREW,Thirukkural,60,56,0.92,,
TK-0294-POPE,Thirukkural,62,98,0.92,,
TK-0038-POPE,Thirukkural,63,87,0.92,,
TK-0074-DREW,Thirukkural,60,76,0.92,,
TK-0134-DREW,Thirukkural,65,63,0.92,,
TK-0043-DREW,Thirukkural,73,94,0.92,,
TK-0136-DREW,Thirukkural,60,79,0.92,,
TK-0379-DREW,Thirukkural,62,65,0.92,,
TK-0242-POPE,Thirukkural,57,107,0.92,,
TK-0075-DREW,Thirukkural,62,78,0.92,,
TK-0139-DREW,Thirukkural,68,75,0.92,,
TK-0045-DREW,Thirukkural,58,81,0.92,,
TK-0060-POPE,Thirukkural,54,95,0.92,,
TK-0082-POPE,Thirukkural,67,111,0.92,,
TK-0033-DREW,Thirukkural,53,60,0.92,,
TK-0050-DREW,Thirukkural,68,76,0.92,,
TK-0061-POPE,Thirukkural,58,99,0.92,,
TK-0377-POPE,Thirukkural,58,66,0.92,,
TK-0014-POPE,Thirukkural,56,83,0.92,,
TK-0376-DREW,Thirukkural,57,75,0.92,,
TK-0243-DREW,Thirukkural,65,70,0.92,,
TK-0054-POPE,Thirukkural,61,83,0.92,Karpu,
TK-0323-DREW,Thirukkural,64,88,0.92,,
TK-0052-DREW,Thirukkural,66,85,0.92,,
TK-0034-POPE,Thirukkural,56,80,0.92,,
TK-0013-DREW,Thirukkural,65,56,0.92,,
TK-0247-DREW,Thirukkural,60,77,0.92,,
TK-0028-DREW,Thirukkural,68,75,0.92,,
TK-0262-DREW,Thirukkural,68,82,0.92,,
TK-0020-POPE,Thirukkural,54,105,0.92,,
TK-0371-POPE,Thirukkural,55,98,0.92,,
TK-0049-POPE,Thirukkural,59,99,0.92,,
TK-0041-POPE,Thirukkural,65,100,0.92,,
TK-0006-POPE,Thirukkural,67,86,0.92,,
TK-0037-POPE,Thirukkural,63,101,0.92,,
TK-0270-POPE,Thirukkural,59,89,0.92,,
TK-0246-POPE,Thirukkural,51,84,0.92,,
TK-0046-DREW,Thirukkural,53,56,0.92,,
TK-0051-POPE,Thirukkural,68,129,0.92,,
TK-0087-DREW,Thirukkural,75,85,0.92,,
TK-0019-DREW,Thirukkural,60,74,0.92,,
TK-0057-DREW,Thirukkural,64,98,0.92,,
TK-0010-DREW,Thirukkural,58,67,0.92,,
TK-0100-POPE,Thirukkural,57,83,0.92,,
TK-0073-POPE,Thirukkural,60,73,0.92,,
TK-0055-DREW,Thirukkural,60,76,0.92,,
TK-0545-POPE,Thirukkural,60,87,0.92,,
TK-0076-DREW,Thirukkural,60,99,0.92,,
TK-0092-POPE,Thirukkural,59,78,0.92,,
TK-0135-POPE,Thirukkural,65,93,0.92,,
TK-0090-DREW,Thirukkural,61,88,0.92,,
TK-0048-POPE,Thirukkural,65,126,0.92,,
TK-0062-POPE,Thirukkural,60,100,0.92,,
TK-0542-POPE,Thirukkural,54,84,0.92,,
TK-0080-POPE,Thirukkural,54,83,0.92,,
TK-0083-DREW,Thirukkural,65,87,0.92,,
TK-0078-POPE,Thirukkural,72,81,0.92,,
TK-0035-DREW,Thirukkural,59,64,0.92,,
TK-0004-POPE,Thirukkural,61,95,0.92,,
TK-0133-DREW,Thirukkural,61,78,0.92,,
TK-0005-DREW,Thirukkural,70,90,0.92,,
TK-0086-POPE,Thirukkural,66,85,0.92,,
TK-0030-DREW,Thirukkural,55,96,0.92,,
TK-0324-POPE,Thirukkural,64,91,0.92,,
TK-0079-POPE,Thirukkural,68,110,0.92,,
TK-0249-DREW,Thirukkural,63,86,0.92,,
TK-0269-DREW,Thirukkural,51,69,0.92,,
TK-0067-DREW,Thirukkural,56,77,0.92,,
TK-0016-DREW,Thirukkural,67,75,0.92,,
TK-0064-DREW,Thirukkural,52,62,0.92,,
TK-0084-DREW,Thirukkural,58,81,0.92,,
TK-0022-DREW,Thirukkural,62,79,0.92,,
TK-0047-DREW,Thirukkural,62,82,0.92,,
TK-0244-POPE,Thirukkural,56,82,0.92,,
TK-0543-POPE,Thirukkural,59,90,0.92,,
TK-0053-DREW,Thirukkural,56,80,0.92,,
TK-0089-DREW,Thirukkural,63,65,0.92,,
TK-0131-DREW,Thirukkural,58,73,0.92,,
TK-0025-POPE,Thirukkural,64,122,0.92,,
TK-0070-DREW,Thirukkural,62,77,0.92,,
TK-0032-POPE,Thirukkural,59,107,0.92,,
TK-0291-DREW,Thirukkural,54,70,0.92,,
TK-0088-DREW,Thirukkural,60,75,0.92,,
TK-0137-POPE,Thirukkural,63,97,0.92,,
TK-0031-POPE,Thirukkural,57,91,0.92,,
TK-0372-DREW,Thirukkural,65,80,0.92,,
TK-0095-POPE,Thirukkural,54,100,0.92,,
TK-0245-DREW,Thirukkural,61,98,0.92,,
TK-0003-DREW,Thirukkural,56,94,0.92,,
TK-0044-POPE,Thirukkural,68,96,0.92,,
TK-0541-POPE,Thirukkural,66,95,0.92,,
TK-0058-DREW,Thirukkural,67,84,0.92,,
TK-0295-POPE,Thirukkural,55,93,0.92,,
TK-0140-POPE,Thirukkural,65,96,0.92,,
TK-0292-DREW,Thirukkural,58,63,0.92,,
TK-0009-DREW,Thirukkural,56,102,0.92,,
TK-0063-POPE,Thirukkural,58,78,0.92,,
TK-0094-DREW,Thirukkural,70,71,0.92,,
TK-0011-DREW,Thirukkural,63,86,0.92,,
TK-0008-POPE,Thirukkural,62,130,0.92,,
TK-0250-DREW,Thirukkural,58,82,0.92,,
TK-0267-DREW,Thirukkural,54,60,0.92,,
TK-0042-POPE,Thirukkural,74,73,0.92,,
TK-0077-DREW,Thirukkural,62,67,0.92,,
TK-0265-POPE,Thirukkural,59,84,0.92,,
TK-0021-DREW,Thirukkural,59,90,0.92,,
TK-0026-POPE,Thirukkural,54,84,0.92,,
TK-0378-DREW,Thirukkural,64,78,0.92,,
TK-0081-POPE,Thirukkural,69,77,0.92,,
TK-0065-DREW,Thirukkural,67,68,0.92,,
TK-0023-DREW,Thirukkural,56,79,0.92,,
TK-0098-DREW,Thirukkural,53,109,0.92,,
TK-0264-DREW,Thirukkural,68,59,0.92,,
TK-0544-DREW,Thirukkural,68,72,0.92,,
TK-0099-POPE,Thirukkural,60,117,0.92,,
TK-0097-POPE,Thirukkural,59,98,0.92,,
TK-0015-DREW,Thirukkural,69,60,0.92,,
TK-0093-POPE,Thirukkural,59,84,0.92,,
TK-0017-POPE,Thirukkural,56,83,0.92,,
TK-0040-POPE,Thirukkural,48,71,0.92,,
TK-0029-POPE,Thirukkural,55,111,0.92,,
TK-0024-POPE,Thirukkural,72,85,0.92,,
TK-0036-POPE,Thirukkural,63,108,0.92,,
TK-0373-POPE,Thirukkural,64,92,0.92,,
TK-0268-POPE,Thirukkural,70,95,0.92,,
TK-0293-POPE,Thirukkural,63,81,0.92,,
TK-0069-DREW,Thirukkural,64,113,0.92,,
TK-0059-DREW,Thirukkural,63,64,0.92,,
TK-0322-DREW,Thirukkural,65,70,0.92,,
TK-0012-DREW,Thirukkural,67,54,0.92,,
TK-0325-DREW,Thirukkural,59,98,0.92,,
TK-0056-POPE,Thirukkural,69,122,0.92,,
TK-0007-DREW,Thirukkural,67,83,0.92,,
TOL-0001,Tolkappiyam,54,86,0.97,Thinai,
TOL-0002,Tolkappiyam,35,49,0.97,Thinai,
