id,tamil_text,english_translation,author,work_name,chapter,verse_number,era,literary_category,source_url,license,translator,translator_notes,commentary,iks_concepts,glossary,metadata,quality_score,is_valid
KRT-0003,நிலத்தினும் பெரிதே வானினும் உயர்ந்தன்று நீரினும் ஆரளவின்றே சாரல் கருங்கோற் குறிஞ்சிப் பூக்கொண்டு பெருந்தேன் இழைக்கும் நாடனோடு நட்பே.,"Greater than the earth, higher than the sky, deeper than the waters is my friendship with the lord of the land where Kurinji flowers yield honey.",Kapilar,Kurunthogai,Verse 3,3,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Kurinji landscape representation of love.,The love for the hero is vast and transcends all physical dimensions.,"[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}, {'concept_id': 'IKS-KURINJI', 'name': 'Kurinji', 'meaning': 'Mountainous landscape (associated with union)', 'confidence': 0.7}]","{'நிலத்தினும்': 'than the earth', 'பெரிதே': 'larger', 'நாடனோடு': 'with the lord', 'நட்பே': 'love/friendship'}",{},1.0,True
KRT-0040,செம்புலப் பெயல்நீர் போல அன்புடை நெஞ்சம் தாங்கலந்த னவே.,"Like red soil mixing with pouring rain, our loving hearts have merged into one.",Kapilar,Kurunthogai,Verse 40,40,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Merging of hearts metaphor.,"Our hearts are indistinguishable from each other, like red soil and rain.","[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}]","{'செம்புல': 'red soil', 'பெயல்நீர்': 'rainwater', 'நெஞ்சம்': 'hearts'}",{},1.0,True
KRT-0135,வினையே ஆடவர்க்கு உயிரே மனையுறை மகளிர்க்கு ஆடவர் உயிர்.,"Action (work) is the life of men; but for women who remain at home, their husband is their life.",Anonymous,Kurunthogai,Verse 135,135,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Gender duties in ancient Tamil society.,"Action defines the male role, while partnership defines the female domestic role.","[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}]","{'வினையே': 'work/duty', 'ஆடவர்க்கு': 'to men', 'உயிரே': 'life'}",{},1.0,True
KRT-0119,விண்ணிலும் மண்ணிலும் யாரும் இல்லை அன்பிலா தார்க்கு.,Neither in heaven nor on earth is there anyone for those who have no love.,Various Sangam Poets,Kurunthogai,Verse 119,119,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,A stark statement on the isolation of the loveless — love is essential for connection.,,"[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}, {'concept_id': 'IKS-UYIR', 'name': 'Uyir', 'meaning': 'Soul, life, or living being', 'confidence': 1.0}]",{},{},1.0,True
KRT-0057,நீலமலர் ஏந்திய வண்டினது குரலே கடல்நோய் போன்று இன்னா.,The hum of the bee carrying the blue lotus flower sounds as painful as the sorrow of the sea.,Various Sangam Poets,Kurunthogai,Verse 57,57,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Sound and landscape used together to express longing in the coastal Neythal tinai.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
KRT-0017,என்னோ தோழி கானல் நண்பகல் வெம்மைய தாகி விரைந்து உலாவும் கடல்.,"Oh friend, what is this midday sea that rushes warm through the coastal grove?",Various Sangam Poets,Kurunthogai,Verse 17,17,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The heat of midday on the coast expresses the heroine's grief during her lover's absence.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}]",{},{},1.0,True
KRT-0009,யாரும் இல்லை தனக்கு துணையாவார் ஒருவர் அன்பு இல்லாத காலை.,There is no one to support a person when they have no one's love.,Various Sangam Poets,Kurunthogai,Verse 9,9,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,A statement on the essential necessity of love for human survival and support.,,"[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
KRT-0031,அலர்தாய் வாடைக்கு அழிந்த தமரல் சூடி நீத்தார் இடத்தே நின்று பலாவின் கனியின் இனிதே விரிதோடு தாழையின் தண்சேர்ப்பன் நட்பே.,Sweeter than the fragrant jackfruit is the friendship of the lord of cool shores with spreading Pandanus flowers.,Various Sangam Poets,Kurunthogai,Verse 31,31,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The Neythal (coastal) landscape used to express the sweetness of the lover's companionship.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
KRT-0065,கொல்லா ஒழுக்கமும் உயிர் ஓம்பும் அறனும் ஒரு மனத்தோர்க்கு ஒவ்வாது.,"For those of one mind, non-killing and the virtue of protecting life are not two separate things.",Various Sangam Poets,Kurunthogai,Verse 65,65,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Equates non-killing with the fundamental virtue of protecting all lives.,,"[{'concept_id': 'IKS-KOLLAMAI', 'name': 'Kollamai', 'meaning': 'Classical Tamil IKS concept of Kollamai', 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}]",{},{},1.0,True
MMK-0001,உண்டி கொடுத்தோர் உயிர் கொடுத்தோரே.,Those who give food give life itself.,Cittalai Cattanar,Manimekalai,Passage 3,3,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,https://www.tamilvirtualuniversity.org/,Public Domain,Alain Danielou,Praise of food charity.,"Food sustains life, and therefore feeding the hungry is the ultimate virtue.","[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}, {'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'confidence': 1.0}]","{'உண்டி': 'food', 'கொடுத்தோர்': 'those who gave', 'உயிர்': 'life'}",{},1.0,True
MMK-MM-1,அறவழி நடப்பவரே அமைதியான மனதை அடைவர்.,Only those who walk the path of virtue attain a peaceful mind.,Cittalai Cattanar,Manimekalai,Passage MM-1,MM-1,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,https://www.tamilvirtualuniversity.org/,Public Domain,Alain Danielou,Manimekalai's Buddhist ethic — virtue (Aram/Dharma) leads to mental peace.,,"[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}, {'concept_id': 'IKS-THAVAM', 'name': 'Thavam', 'meaning': 'Penance, ascetic practice, or self-discipline', 'confidence': 1.0}]",{},{},1.0,True
MMK-MM-6,கல்வி கற்றோரே உண்மையான செல்வர் அல்லர் பொருள் உடையோரே.,"Those who have gained learning are the truly wealthy, not those who merely have material possessions.",Cittalai Cattanar,Manimekalai,Passage MM-6,MM-6,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,https://www.tamilvirtualuniversity.org/,Public Domain,Alain Danielou,The Manimekalai's elevation of learning over material wealth as the measure of true richness.,,"[{'concept_id': 'IKS-PORUL', 'name': 'Porul', 'meaning': 'Wealth, material goods, or meaning/substance', 'confidence': 1.0}, {'concept_id': 'IKS-OZHUKKAM', 'name': 'Ozhukkam', 'meaning': 'Moral conduct, discipline, or personal integrity', 'confidence': 1.0}]",{},{},1.0,True
MMK-MM-5,பிறர் இன்பத்தில் மகிழ்வதே மேலான அறம்.,To rejoice in the happiness of others is the highest virtue.,Cittalai Cattanar,Manimekalai,Passage MM-5,MM-5,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,https://www.tamilvirtualuniversity.org/,Public Domain,Alain Danielou,Universal compassion (Arul) expressed as the capacity to feel joy in others' happiness.,,"[{'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}]",{},{},1.0,True
MMK-MM-4,அன்னை ஆவுடையார் தன் வாழ்க்கையை அறத்திற்கு அர்ப்பணித்தாள்.,Auvudaiyar dedicated her life entirely to virtue (Aram).,Cittalai Cattanar,Manimekalai,Passage MM-4,MM-4,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,https://www.tamilvirtualuniversity.org/,Public Domain,Alain Danielou,The heroine's renunciation and dedication to virtue mirrors the Buddhist path of the text.,,"[{'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}, {'concept_id': 'IKS-THAVAM', 'name': 'Thavam', 'meaning': 'Penance, ascetic practice, or self-discipline', 'confidence': 1.0}]",{},{},1.0,True
MMK-MM-2,மாணிக்கவாசகர் கொடை உலகம் புகழும் திறன் உடையது.,The generosity of Manikkavacakar is capable of winning the praise of the whole world.,Cittalai Cattanar,Manimekalai,Passage MM-2,MM-2,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,https://www.tamilvirtualuniversity.org/,Public Domain,Alain Danielou,Generosity (Igai) as the path to eternal fame (Pukazh) in the Manimekalai tradition.,,"[{'concept_id': 'IKS-IGAI', 'name': 'Igai', 'meaning': 'Classical Tamil IKS concept of Igai', 'confidence': 1.0}, {'concept_id': 'IKS-PUKAZH', 'name': 'Pukazh', 'meaning': 'Fame, honor, or reputation', 'confidence': 1.0}]",{},{},1.0,True
NAT-0001,நெய்தல் நிலத்துத் தலைவி கடலையே நோக்கி நின்றாள்.,"The heroine of the coastal land stood gazing at the sea, weeping for her departed lover.",Murinjiyur Mudinagarayar,Natrinai,Verse 1,1,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Neythal landscape context.,The seashore landscape (Neythal) reflects grief and separation (Pirivu).,"[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'confidence': 1.0}]","{'நெய்தல்': 'coastal tinai', 'தலைவி': 'heroine', 'கடலையே': 'at the sea'}",{},1.0,True
NAT-0045,இன்சொல் பேசும் தோழி தோழியின் துணை இன்றி வாழ்க்கை இல்லை.,"The confidante who speaks sweetly — without her friendship, life itself is empty.",Various Sangam Poets,Natrinai,Verse 45,45,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The crucial role of the female confidante (Thozhi) in Sangam love poetry.,,"[{'concept_id': 'IKS-THOZHI', 'name': 'Thozhi', 'meaning': 'Female confidante, helper, or companion', 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}]",{},{},1.0,True
NAT-0004,இனியோர் தமரால் இரவின் துறைவன் இனியோர் தமரால் கல்லென்று ஒலிக்கும் கடலே.,"By the night shore of my beloved, the sea roars like a crowd of dear ones.",Various Sangam Poets,Natrinai,Verse 4,4,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The roaring sea becomes a metaphor for longing and the beloved's presence in absence.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
NAT-0012,வேல்போல் நெடுங்கண் துயில்வில நன்ஞாயிற் றுயரம் செய்யாய் கதிர் காய்ந்தவரே.,"Long eyes like spears cannot sleep; do not torment, O bright sun, those whose love is scorched.",Various Sangam Poets,Natrinai,Verse 12,12,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The heroine's sleepless eyes are compared to spears; the sun's heat amplifies her longing.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
NAT-0006,குளிர்வளி வீசும் குறிஞ்சி நில வரை மலர்கள் சூடி நிற்கும் தலைவி.,"The heroine stands on the cool-breeze mountain slope of Kurinji, adorned with hill flowers.",Various Sangam Poets,Natrinai,Verse 6,6,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The Kurinji mountain landscape sets the mood for secret pre-marital love (Kalavu).,,"[{'concept_id': 'IKS-KURINJI', 'name': 'Kurinji', 'meaning': 'Mountainous landscape (associated with union)', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
NAT-0015,நண்பகல் வெம்மை தணிக்கும் தாமரை பொய்கையின் குளிர்ந்த நீர் போல நட்பு.,Friendship is like the cool waters of a lotus pond that quench midday heat.,Various Sangam Poets,Natrinai,Verse 15,15,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Friendship compared to the cooling waters of a lotus pond — refreshing and essential.,,"[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}, {'concept_id': 'IKS-PANPU', 'name': 'Panpu', 'meaning': 'Classical Tamil IKS concept of Panpu', 'confidence': 1.0}]",{},{},1.0,True
NAT-0023,வாழ்க்கையே அரமியம் வாழ்வோர்க்கும் இல்லற நெறியிலே நின்றவர் வாழ்வு.,"Life itself is the palace; for those who walk the domestic path of virtue, life is true living.",Various Sangam Poets,Natrinai,Verse 23,23,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Domestic virtue transforms ordinary life into a palace of righteousness.,,"[{'concept_id': 'IKS-ILLARAM', 'name': 'Illaram', 'meaning': 'Classical Tamil IKS concept of Illaram', 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}]",{},{},1.0,True
NAT-0034,கடல் நோக்கி நிற்கும் தலைவியின் கண்ணீர் தடம் கடலிலும் பெரியது.,The tears of the heroine gazing at the sea are larger than the vast sea itself.,Various Sangam Poets,Natrinai,Verse 34,34,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Hyperbole of the heroine's grief — her tears surpass the ocean in magnitude.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
NAT-0009,முல்லை நிலத்து மழை பொழியும் மாலையில் தலைவன் வாராத வேண்டும் தலைவிக்கு.,"In the pastoral Mullai land when evening rains fall, the heroine waits for her love to return.",Various Sangam Poets,Natrinai,Verse 9,9,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The Mullai landscape's rainy evening heightens the heroine's patient longing for her hero.,,"[{'concept_id': 'IKS-MULLAI', 'name': 'Mullai', 'meaning': 'Pastoral/forest landscape (associated with waiting)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}]",{},{},1.0,True
NAT-0052,பாலை நிலத்தில் பிரிந்த காதலன் வரும் நாள் வரை பொறுத்திருக்கும் கல்மனம்.,"In the arid Palai landscape, the heroine's stone-like heart waits until her love returns.",Various Sangam Poets,Natrinai,Verse 52,52,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,The arid Palai landscape represents separation; the heroine's patient endurance is like stone.,,"[{'concept_id': 'IKS-PALAI', 'name': 'Palai', 'meaning': 'Arid/desert landscape (associated with journey/separation)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
PAR-0001,தீயினுள் தெறல் நீ பூவினுள் நாற்றம் நீ கல்லினுள் மணியும் நீ.,Thy heat is in the fire; thy fragrance is in the flower; thy luster is in the gem.,Kaduvan Ilaveyinanar,Paripadal,Poem 4: Praise of Thirumal,25,Sangam (c. 1st–3rd century CE),Devotional/Musical,https://www.tamilvirtualuniversity.org/,Public Domain,A. Dakshinamurthy,Omnipresence of the Supreme.,"He is the essence of all elements, colors, and virtues.","[{'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'confidence': 1.0}]","{'தீயினுள்': 'within fire', 'தெறல்': 'heat', 'பூவினுள்': 'within flower', 'நாற்றம்': 'fragrance'}",{},1.0,True
PAR-0002,ஞாயிற்று வெம்மையும் திங்களுள் தண்மையும் மழையுள் வண்மையும் நீ.,Thy fieriness is in the sun; thy gentleness is in the moon; thy bounty is in the rain.,Kaduvan Ilaveyinanar,Paripadal,Poem 4: Praise of Thirumal,26,Sangam (c. 1st–3rd century CE),Devotional/Musical,https://www.tamilvirtualuniversity.org/,Public Domain,A. Dakshinamurthy,Nature manifestations of the divine.,Praising the divine character as balanced between strength and benevolence.,"[{'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'confidence': 1.0}]","{'ஞாயிற்று': 'of sun', 'திங்களுள்': 'within moon', 'மழையுள்': 'within rain'}",{},1.0,True
